shipment_id,order_id,carrier,shipping_method,distance_band,promised_days,actual_days,actual_minus_promised,hours_to_ship,shipping_state,state,order_total,order_subtotal,shipping_fee,tax_amount,shipping_to_subtotal_ratio,payment_method,device_type,ip_country,promo_used,customer_segment,loyalty_tier,total_items,unique_products,late_delivery
34,34,UPS,standard,national,7,8,1,13.0,CO,CO,39.92,30.14,6.99,2.79,0.23191771731917718,card,mobile,US,0,standard,silver,1,1,1
35,35,FedEx,standard,regional,6,6,0,25.0,IL,CO,220.65,202.66,0.0,17.99,0.0,card,mobile,CA,1,standard,silver,3,3,0
36,36,FedEx,expedited,national,4,3,-1,6.0,CO,CO,64.02,47.27,12.99,3.76,0.27480431563359425,card,mobile,US,1,standard,silver,1,1,0
37,37,USPS,standard,national,7,8,1,9.0,CO,CO,104.94,89.91,6.99,8.04,0.07774441107774442,card,mobile,US,0,standard,silver,2,2,1
38,38,FedEx,standard,regional,6,5,-1,27.0,CO,CO,316.51,287.47,7.34,21.7,0.025533099105993665,card,mobile,GB,0,standard,silver,3,2,0
39,39,FedEx,standard,regional,6,6,0,16.0,CO,CO,451.21,422.24,7.69,21.28,0.018212391057218644,bank,tablet,US,0,standard,silver,4,4,0
40,40,FedEx,standard,local,5,4,-1,24.0,CO,CO,723.56,674.91,7.34,41.31,0.010875524143959935,card,mobile,US,1,standard,silver,3,2,0
41,41,FedEx,standard,local,5,6,1,8.0,CO,CO,577.33,542.27,7.69,27.37,0.014181127482619361,card,mobile,US,0,standard,silver,4,2,1
42,42,FedEx,expedited,regional,3,5,2,31.0,CO,CO,708.89,649.35,14.39,45.15,0.02216062216062216,card,desktop,US,0,standard,silver,6,5,1
43,43,UPS,standard,local,5,5,0,27.0,CO,CO,24.18,16.1,6.99,1.09,0.4341614906832298,card,desktop,GB,1,standard,silver,1,1,0
44,44,UPS,expedited,local,2,4,2,11.0,CO,CO,73.63,56.2,12.99,4.44,0.23113879003558718,card,desktop,US,1,standard,silver,2,1,1
45,45,UPS,expedited,regional,3,4,1,3.0,CO,CO,264.26,235.21,14.04,15.01,0.05969133965392627,paypal,mobile,US,0,standard,silver,5,3,1
46,46,USPS,standard,regional,6,8,2,9.0,WA,CO,24.54,22.73,0.0,1.81,0.0,card,desktop,US,1,standard,silver,1,1,1
47,47,USPS,standard,local,5,7,2,25.0,CO,CO,397.78,360.54,8.39,28.85,0.02327064958118378,card,mobile,GB,0,standard,silver,6,5,1
48,48,USPS,standard,local,5,6,1,29.0,CO,CO,246.61,220.67,6.99,18.95,0.03167625866678751,paypal,mobile,US,0,standard,silver,2,2,1
49,49,UPS,standard,regional,6,7,1,36.0,CO,CO,477.2,431.97,8.04,37.19,0.018612403639141604,card,tablet,US,0,standard,silver,5,3,1
50,50,USPS,overnight,national,3,3,0,5.0,CO,CO,419.07,375.04,24.99,19.04,0.06663289249146757,card,desktop,US,0,standard,silver,2,2,0
51,51,FedEx,standard,regional,6,8,2,25.0,CO,CO,833.93,782.61,7.34,43.98,0.00937887325743346,bank,desktop,US,0,standard,silver,3,2,1
52,52,USPS,standard,local,5,6,1,13.0,CO,CO,23.57,15.74,6.99,0.84,0.4440914866581957,paypal,mobile,US,0,standard,silver,1,1,1
53,53,UPS,standard,regional,6,4,-2,31.0,CO,CO,244.9,220.54,7.34,17.02,0.03328194431849098,paypal,desktop,US,0,standard,silver,3,3,0
54,54,FedEx,standard,regional,6,9,3,6.0,CO,CO,1023.22,965.44,0.0,57.78,0.0,card,desktop,US,1,standard,silver,5,3,1
55,55,FedEx,standard,national,7,8,1,36.0,CO,CO,21.63,13.88,6.99,0.76,0.5036023054755043,card,desktop,US,0,standard,silver,1,1,1
56,56,FedEx,overnight,local,1,1,0,22.0,CA,CO,58.96,31.59,24.99,2.38,0.7910731244064577,paypal,mobile,US,0,standard,silver,1,1,0
57,57,USPS,standard,regional,6,5,-1,3.0,CO,CO,237.74,213.59,6.99,17.16,0.03272625122899012,card,mobile,US,0,standard,silver,2,2,0
58,58,FedEx,standard,regional,6,6,0,12.0,CO,CO,168.83,148.5,6.99,13.34,0.047070707070707075,card,desktop,US,1,standard,silver,1,1,0
59,59,UPS,standard,local,5,5,0,11.0,CO,CO,154.65,135.14,7.34,12.17,0.05431404469439101,paypal,desktop,CA,0,standard,silver,3,2,0
60,60,USPS,standard,national,7,8,1,30.0,CO,CO,742.86,679.14,8.04,55.68,0.01183850163442,card,desktop,US,0,standard,silver,5,5,1
61,61,FedEx,expedited,regional,3,4,1,4.0,CO,CO,376.57,332.05,13.69,30.83,0.041228730612859504,bank,tablet,US,0,standard,silver,4,3,1
62,62,FedEx,expedited,local,2,4,2,31.0,CO,CO,57.6,42.08,12.99,2.53,0.30869771863117873,card,desktop,US,0,standard,silver,2,2,1
63,63,UPS,standard,regional,6,10,4,4.0,CO,CO,712.62,662.46,8.74,41.42,0.013193249403737584,paypal,mobile,US,1,standard,silver,7,4,1
64,64,UPS,standard,local,5,6,1,27.0,CO,CO,517.26,479.43,8.04,29.79,0.016769914273199422,card,desktop,US,0,standard,silver,5,2,1
65,65,FedEx,standard,regional,6,7,1,29.0,CO,CO,978.46,916.08,8.39,53.99,0.009158588769539778,paypal,desktop,US,0,standard,silver,6,3,1
66,66,FedEx,standard,regional,6,4,-2,22.0,CO,CO,325.12,290.37,7.34,27.41,0.02527809346695595,card,desktop,US,0,standard,silver,3,2,0
67,67,UPS,standard,regional,6,7,1,12.0,CO,CO,1674.83,1544.14,9.09,121.6,0.005886771924825469,card,mobile,US,1,standard,silver,8,3,1
68,68,USPS,standard,regional,6,9,3,31.0,CO,CO,37.26,27.76,6.99,2.51,0.25180115273775217,card,tablet,IN,0,standard,silver,2,1,1
69,69,UPS,standard,local,5,4,-1,20.0,CO,CO,38.81,29.6,6.99,2.22,0.23614864864864865,card,mobile,US,0,standard,silver,1,1,0
70,70,FedEx,standard,national,7,7,0,8.0,CO,CO,231.38,210.0,6.99,14.39,0.03328571428571429,bank,desktop,BR,0,standard,silver,1,1,0
71,71,FedEx,expedited,regional,3,5,2,27.0,CO,CO,278.02,242.53,12.99,22.5,0.05356038428235682,card,mobile,US,0,standard,silver,2,2,1
72,72,FedEx,standard,regional,6,5,-1,22.0,CO,CO,662.49,603.18,7.69,51.62,0.012749096455452769,paypal,mobile,US,0,standard,silver,4,3,0
73,73,USPS,standard,regional,6,9,3,18.0,CO,CO,1020.09,945.14,9.09,65.86,0.00961762278604228,card,mobile,US,0,standard,silver,8,5,1
74,74,UPS,standard,national,7,8,1,21.0,CO,CO,835.89,767.0,8.74,60.15,0.011395045632333768,bank,mobile,US,0,standard,silver,7,5,1
75,75,USPS,standard,local,5,6,1,11.0,CO,CO,266.44,246.85,6.99,12.6,0.028316791573830262,card,desktop,US,0,standard,silver,1,1,1
76,76,FedEx,standard,regional,6,8,2,22.0,CO,CO,443.29,399.12,6.99,37.18,0.017513529765484065,card,mobile,US,0,standard,silver,2,2,1
77,77,FedEx,standard,regional,6,8,2,15.0,CO,CO,508.18,463.61,8.74,35.83,0.018852052371605445,paypal,mobile,US,1,standard,silver,7,5,1
78,78,UPS,standard,regional,6,7,1,19.0,CO,CO,536.56,494.87,8.04,33.65,0.016246691050174792,card,desktop,CA,0,standard,silver,5,4,1
79,79,USPS,standard,regional,6,8,2,18.0,CO,CO,480.73,443.8,7.69,29.24,0.01732762505633168,paypal,desktop,US,1,standard,silver,4,4,1
80,80,UPS,standard,regional,6,5,-1,23.0,CO,CO,340.35,314.86,7.69,17.8,0.02442355332528743,card,desktop,GB,0,standard,silver,4,4,0
81,81,USPS,standard,local,5,7,2,4.0,CO,CO,1129.38,1035.99,9.79,83.6,0.009449898165040202,paypal,desktop,US,0,standard,silver,10,5,1
82,82,UPS,expedited,local,2,3,1,28.0,CO,CO,574.4,531.78,15.09,27.53,0.02837639625409004,card,mobile,US,0,standard,silver,8,5,1
83,83,UPS,standard,local,5,7,2,22.0,CO,CO,899.27,834.42,9.09,55.76,0.010893794491982455,card,mobile,US,0,standard,silver,8,4,1
84,84,UPS,standard,regional,6,10,4,26.0,CO,CO,632.0,571.07,8.04,52.89,0.014078834468629063,card,mobile,US,0,standard,silver,5,3,1
85,85,FedEx,standard,regional,6,5,-1,22.0,CO,CO,459.31,421.71,8.04,29.56,0.019065234402788647,bank,desktop,US,0,standard,silver,5,2,0
86,86,UPS,standard,local,5,4,-1,26.0,CO,CO,330.35,295.33,7.34,27.68,0.024853553651847087,card,mobile,US,1,standard,silver,3,2,0
87,87,USPS,expedited,national,4,3,-1,14.0,CO,CO,154.23,132.93,13.34,7.96,0.10035356954788234,card,desktop,US,0,standard,silver,3,3,0
88,88,FedEx,expedited,regional,3,5,2,18.0,CO,CO,300.48,271.29,13.34,15.85,0.04917247226215488,card,mobile,US,0,standard,silver,3,2,1
89,89,FedEx,standard,regional,6,6,0,9.0,CO,CO,691.81,634.72,8.39,48.7,0.013218427022939249,card,mobile,US,0,standard,silver,6,5,0
90,90,UPS,expedited,regional,3,2,-1,24.0,CO,CO,421.89,374.64,13.69,33.56,0.036541746743540465,bank,desktop,US,0,standard,silver,4,3,0
91,91,UPS,overnight,national,3,5,2,2.0,CO,CO,191.11,152.52,26.39,12.2,0.1730264883293994,card,desktop,US,0,standard,silver,6,5,1
92,92,UPS,overnight,local,1,2,1,8.0,CO,CO,58.84,31.12,24.99,2.73,0.8030205655526992,card,mobile,US,0,standard,silver,1,1,1
93,93,USPS,standard,national,7,7,0,35.0,CO,CO,352.74,316.85,7.34,28.55,0.023165535742464886,paypal,mobile,US,0,standard,silver,3,3,0
94,94,UPS,standard,local,5,6,1,19.0,CO,CO,83.68,72.1,7.69,3.89,0.10665742024965327,card,mobile,US,0,standard,silver,4,3,1
95,95,UPS,standard,regional,6,7,1,9.0,CO,CO,290.97,259.93,6.99,24.05,0.02689185549955757,card,desktop,NG,0,standard,silver,2,2,1
96,96,FedEx,standard,local,5,3,-2,9.0,CO,CO,652.95,612.84,7.69,32.42,0.01254813654461197,card,desktop,US,1,standard,silver,4,4,0
97,97,UPS,standard,national,7,8,1,24.0,CO,CO,1080.24,1022.55,0.0,57.69,0.0,card,mobile,US,1,standard,silver,7,3,1
98,98,UPS,standard,regional,6,6,0,21.0,CO,CO,96.43,82.11,7.69,6.63,0.09365485324564608,paypal,mobile,IN,1,standard,silver,4,3,0
99,99,FedEx,standard,national,7,9,2,7.0,CO,CO,952.14,881.19,8.39,62.56,0.009521215628865511,card,desktop,US,0,standard,silver,6,4,1
100,100,UPS,standard,national,7,12,5,8.0,CO,CO,742.33,674.08,9.09,59.16,0.01348504628530738,bank,desktop,US,0,standard,silver,8,5,1
101,101,FedEx,standard,regional,6,6,0,11.0,CO,CO,19.94,11.97,6.99,0.98,0.5839598997493735,paypal,desktop,US,0,standard,silver,1,1,0
102,102,FedEx,standard,national,7,7,0,30.0,CO,CO,146.81,132.61,6.99,7.21,0.05271095694140713,paypal,tablet,US,0,standard,silver,2,2,0
103,103,FedEx,standard,regional,6,6,0,33.0,WA,CO,910.91,853.3,8.39,49.22,0.00983241532872378,card,tablet,US,0,standard,silver,6,5,0
104,104,USPS,standard,regional,6,8,2,10.0,CO,CO,368.51,334.22,7.69,26.6,0.02300879660104123,card,desktop,US,0,standard,silver,4,4,1
105,105,FedEx,standard,regional,6,6,0,32.0,CO,CO,321.29,287.42,8.39,25.48,0.0291907313339364,card,mobile,US,0,standard,silver,6,5,0
106,106,UPS,expedited,national,4,7,3,32.0,CO,CO,959.02,893.22,14.74,51.06,0.016502093549181612,card,mobile,US,0,standard,silver,7,5,1
107,107,USPS,expedited,local,2,3,1,14.0,CO,CO,770.92,715.61,0.0,55.31,0.0,crypto,desktop,US,1,standard,silver,5,4,1
108,108,UPS,standard,regional,6,5,-1,36.0,CO,CO,329.04,305.61,7.69,15.74,0.025162789175746866,card,mobile,US,1,standard,silver,4,2,0
109,109,FedEx,expedited,local,2,5,3,36.0,CO,CO,554.56,502.85,13.69,38.02,0.02722481853435418,card,mobile,US,0,standard,silver,4,3,1
110,110,UPS,expedited,local,2,2,0,9.0,WA,CO,289.51,253.24,12.99,23.28,0.051295214026220184,card,mobile,US,1,standard,silver,1,1,0
111,111,UPS,standard,regional,6,7,1,4.0,CO,CO,207.24,184.07,7.69,15.48,0.041777584614548814,bank,mobile,US,0,standard,silver,4,3,1
112,112,UPS,standard,national,7,6,-1,3.0,CO,CO,550.44,500.15,7.69,42.6,0.015375387383784866,bank,desktop,US,1,standard,silver,4,4,0
113,113,FedEx,standard,regional,6,7,1,25.0,CO,CO,145.0,129.35,6.99,8.66,0.05403942790877465,card,desktop,US,0,standard,silver,1,1,1
114,114,USPS,standard,local,5,6,1,5.0,CO,CO,587.19,550.82,7.69,28.68,0.013961003594640716,card,mobile,US,0,standard,silver,4,2,1
115,115,FedEx,standard,regional,6,6,0,21.0,FL,CO,310.97,282.59,7.34,21.04,0.025974025974025976,card,mobile,US,0,standard,silver,3,3,0
116,116,UPS,overnight,regional,2,2,0,11.0,CO,CO,407.57,359.48,26.39,21.7,0.07341159452542562,card,desktop,US,0,standard,silver,6,5,0
117,117,UPS,standard,regional,6,4,-2,26.0,CO,CO,191.5,169.71,6.99,14.8,0.04118790878557539,paypal,desktop,US,1,standard,silver,1,1,0
118,118,UPS,expedited,regional,3,4,1,5.0,AZ,CO,615.71,563.45,15.44,36.82,0.027402608927145262,card,mobile,US,0,standard,silver,9,5,1
119,119,FedEx,standard,local,5,8,3,20.0,CO,CO,1126.92,1024.09,9.79,93.04,0.009559706666406273,card,desktop,US,0,standard,silver,10,5,1
120,120,USPS,standard,local,5,6,1,5.0,CO,CO,575.36,518.83,8.04,48.49,0.015496405373629124,card,mobile,US,0,standard,silver,5,5,1
121,121,UPS,standard,local,5,7,2,22.0,CO,CO,461.69,428.36,0.0,33.33,0.0,card,desktop,US,1,standard,silver,4,3,1
122,122,UPS,expedited,local,2,3,1,34.0,CO,CO,276.16,244.96,12.99,18.21,0.05302906596995428,card,tablet,BR,0,standard,silver,2,1,1
123,123,USPS,standard,regional,6,7,1,11.0,CO,CO,741.69,679.72,8.04,53.93,0.011828399929382685,card,mobile,US,0,standard,silver,5,4,1
124,124,UPS,standard,regional,6,7,1,28.0,CO,CO,700.32,655.81,9.44,35.07,0.01439441301596499,card,mobile,US,0,standard,silver,9,5,1
125,125,UPS,standard,local,5,5,0,25.0,CO,CO,900.81,833.31,8.74,58.76,0.010488293672222824,bank,mobile,US,0,standard,silver,7,5,0
126,126,UPS,standard,local,5,4,-1,28.0,CO,CO,1044.05,961.07,8.74,74.24,0.009094030611714026,card,desktop,US,0,standard,silver,7,4,0
127,127,FedEx,standard,national,7,8,1,26.0,CO,CO,1045.31,994.08,0.0,51.23,0.0,card,mobile,US,1,standard,silver,7,4,1
128,128,UPS,expedited,regional,3,5,2,29.0,CO,CO,487.17,443.85,14.04,29.28,0.03163230821223386,card,desktop,US,0,standard,silver,5,3,1
129,129,FedEx,standard,local,5,4,-1,34.0,CO,CO,592.14,537.8,8.74,45.6,0.016251394570472297,paypal,desktop,US,0,standard,silver,7,5,0
130,130,USPS,expedited,local,2,3,1,24.0,CO,CO,38.59,23.94,12.99,1.66,0.5426065162907268,card,mobile,US,0,standard,silver,2,1,1
131,131,FedEx,expedited,local,2,2,0,15.0,CO,CO,889.55,800.23,14.74,74.58,0.018419704335003687,card,mobile,US,1,standard,silver,7,5,0
132,132,UPS,standard,regional,6,6,0,24.0,CO,CO,275.36,253.65,8.04,13.67,0.03169722057953873,card,desktop,US,0,standard,silver,5,3,0
133,133,USPS,standard,local,5,7,2,10.0,TX,CO,689.52,625.15,9.44,54.93,0.015100375909781652,card,mobile,US,0,standard,silver,9,5,1
134,134,UPS,standard,local,5,6,1,28.0,CO,CO,798.89,758.66,0.0,40.23,0.0,bank,desktop,US,1,standard,silver,9,4,1
135,135,FedEx,standard,local,5,6,1,20.0,CO,CO,121.71,105.74,7.69,8.28,0.07272555324380557,card,desktop,US,0,standard,silver,4,2,1
136,136,UPS,standard,local,5,8,3,20.0,CO,CO,495.9,448.82,8.39,38.69,0.018693462858161404,card,desktop,US,0,standard,silver,6,3,1
137,137,UPS,expedited,national,4,4,0,12.0,CO,CO,272.22,243.75,13.34,15.13,0.05472820512820513,bank,desktop,US,0,standard,silver,3,3,0
138,138,USPS,standard,national,7,9,2,27.0,CO,CO,854.8,798.57,8.74,47.49,0.010944563407090173,paypal,tablet,US,0,standard,silver,7,5,1
139,139,FedEx,standard,local,5,7,2,26.0,CO,CO,517.0,483.55,8.74,24.71,0.01807465618860511,card,mobile,US,0,standard,silver,7,5,1
140,140,UPS,standard,regional,6,6,0,3.0,CO,CO,930.32,855.81,8.39,66.12,0.009803577896963112,paypal,desktop,US,1,standard,silver,6,4,0
141,141,UPS,expedited,regional,3,3,0,36.0,CO,CO,959.46,880.28,14.04,65.14,0.015949470622983596,card,mobile,US,0,standard,silver,5,3,0
142,142,UPS,standard,local,5,7,2,32.0,CO,CO,500.83,451.91,8.74,40.18,0.01934013409749729,card,tablet,US,1,standard,silver,7,4,1
143,143,FedEx,expedited,regional,3,1,-2,17.0,CO,CO,511.46,468.68,13.69,29.09,0.029209695314500298,card,mobile,US,0,standard,silver,4,3,0
144,144,FedEx,standard,local,5,5,0,30.0,CO,CO,431.18,391.3,6.99,32.89,0.01786353181702019,card,desktop,US,0,standard,silver,2,1,0
145,145,FedEx,expedited,regional,3,4,1,35.0,CO,CO,958.75,874.69,13.69,70.37,0.015651259303296024,card,mobile,US,0,standard,silver,4,4,1
146,146,FedEx,standard,national,7,11,4,2.0,CO,CO,1016.82,946.85,9.09,60.88,0.009600253472038866,card,desktop,US,0,standard,silver,8,4,1
147,147,UPS,standard,regional,6,5,-1,18.0,CO,CO,307.83,282.08,8.04,17.71,0.028502552467385138,card,mobile,US,1,standard,silver,5,4,0
148,148,FedEx,expedited,local,2,3,1,32.0,CO,CO,444.32,404.4,13.69,26.23,0.03385262116716123,paypal,mobile,US,0,standard,silver,4,3,1
149,149,USPS,standard,regional,6,6,0,9.0,CO,CO,33.7,24.42,6.99,2.29,0.28624078624078625,paypal,tablet,US,0,standard,silver,2,2,0
150,150,FedEx,standard,regional,6,7,1,29.0,CO,CO,818.13,753.36,10.49,54.28,0.013924285865987044,card,mobile,US,0,standard,silver,12,5,1
151,151,UPS,standard,local,5,9,4,2.0,CO,CO,723.44,666.31,8.04,49.09,0.012066455553721241,card,mobile,US,0,standard,silver,5,4,1
152,152,FedEx,expedited,regional,3,5,2,36.0,CO,CO,1187.76,1071.37,14.74,101.65,0.013758085442004164,paypal,desktop,US,0,standard,silver,7,3,1
153,153,UPS,standard,regional,6,8,2,3.0,CO,CO,197.19,176.0,7.34,13.85,0.04170454545454545,card,desktop,US,0,standard,silver,3,2,1
154,154,UPS,standard,local,5,8,3,14.0,CO,CO,1586.04,1456.36,9.09,120.59,0.006241588618198797,bank,mobile,US,0,standard,silver,8,5,1
155,155,FedEx,standard,local,5,7,2,25.0,CO,CO,907.34,851.99,9.44,45.91,0.011079942252843342,card,desktop,US,1,standard,silver,9,5,1
156,156,FedEx,standard,regional,6,6,0,14.0,CO,CO,615.77,572.41,7.34,36.02,0.012822976537796335,paypal,mobile,US,0,standard,silver,3,2,0
157,157,UPS,standard,regional,6,8,2,20.0,CO,CO,650.69,587.47,8.74,54.48,0.014877355439426693,card,mobile,US,0,standard,silver,7,4,1
158,158,FedEx,standard,national,7,7,0,22.0,CO,CO,428.47,394.61,8.39,25.47,0.021261498694913967,bank,desktop,US,0,standard,silver,6,5,0
159,159,FedEx,standard,regional,6,6,0,17.0,CO,CO,546.76,512.92,7.69,26.15,0.014992591437261173,card,desktop,US,0,standard,silver,4,3,0
160,160,UPS,expedited,national,4,5,1,10.0,CO,CO,1145.37,1047.5,0.0,97.87,0.0,card,mobile,US,1,standard,silver,8,5,1
161,161,UPS,standard,local,5,5,0,17.0,CO,CO,259.12,238.08,6.99,14.05,0.029359879032258063,paypal,mobile,US,0,standard,silver,2,2,0
162,162,UPS,standard,national,7,7,0,27.0,CO,CO,770.68,699.18,7.69,63.81,0.010998598358076605,bank,mobile,US,0,standard,silver,4,4,0
163,163,FedEx,standard,regional,6,11,5,33.0,CO,CO,413.53,377.08,9.09,27.36,0.024106290442346454,card,desktop,US,0,standard,silver,8,5,1
164,164,FedEx,expedited,local,2,5,3,27.0,AZ,CO,842.2,772.66,14.74,54.8,0.019076954934900216,card,mobile,US,1,standard,silver,7,4,1
165,165,UPS,standard,regional,6,8,2,30.0,CO,CO,46.82,37.26,6.99,2.57,0.18760064412238328,card,mobile,US,0,standard,silver,2,1,1
166,166,FedEx,standard,local,5,6,1,34.0,CO,CO,950.64,897.78,7.69,45.17,0.008565572857492928,card,mobile,US,0,standard,silver,4,2,1
167,167,UPS,standard,regional,6,8,2,9.0,CO,CO,720.56,670.58,8.39,41.59,0.012511557159473888,bank,mobile,US,1,standard,silver,6,4,1
168,168,UPS,standard,national,7,7,0,35.0,CO,CO,42.88,32.81,6.99,3.08,0.21304480341359341,card,mobile,US,0,standard,silver,2,2,0
169,169,UPS,expedited,regional,3,3,0,7.0,CO,CO,113.04,93.93,12.99,6.12,0.1382944746087512,card,mobile,US,0,standard,silver,1,1,0
170,170,FedEx,expedited,national,4,7,3,20.0,CO,CO,373.2,337.39,14.74,21.07,0.04368831322801506,bank,desktop,US,0,standard,silver,7,5,1
171,171,UPS,expedited,regional,3,2,-1,2.0,CA,CO,633.69,575.45,13.69,44.55,0.0237900773307846,paypal,desktop,US,0,standard,silver,4,3,0
172,172,UPS,standard,regional,6,6,0,24.0,CO,CO,458.62,418.28,6.99,33.35,0.016711293870134838,card,mobile,US,0,standard,silver,2,2,0
173,173,FedEx,standard,local,5,6,1,9.0,CO,CO,427.26,382.95,8.39,35.92,0.021908865387126258,crypto,mobile,US,0,standard,silver,6,4,1
174,174,FedEx,standard,regional,6,6,0,34.0,CO,CO,779.92,714.45,8.39,57.08,0.011743299041220519,card,mobile,US,0,standard,silver,6,4,0
175,175,UPS,standard,regional,6,7,1,16.0,CO,CO,694.23,650.11,8.74,35.38,0.013443878728215225,card,mobile,US,0,standard,silver,7,4,1
