order_id,customer_id,order_total,order_subtotal,shipping_fee,tax_amount,risk_score,payment_method,device_type,ip_country,promo_used,customer_segment,loyalty_tier,gender,state,shipping_state,shipping_method,distance_band,promised_days,actual_days,items_per_order,unique_products,avg_item_price,customer_age,account_age_days,shipping_to_subtotal_ratio,tax_to_subtotal_ratio,is_fraud
26,1,309.58,279.22,8.74,21.62,7.9,paypal,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,8,7,3,43.60666666666666,20.413415468856947,25,0.03130148270181219,0.07742998352553541,0
27,1,313.62,274.23,15.09,24.3,5.6,card,desktop,US,0,standard,silver,Female,CO,CO,expedited,local,2,4,8,4,40.3875,20.566735112936346,81,0.05502680231922109,0.08861174926156876,0
28,1,219.88,196.02,7.69,16.17,5.2,bank,tablet,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,4,4,49.005,20.199863107460644,0,0.03923069074584226,0.08249158249158249,0
29,1,258.43,228.5,12.99,16.94,26.7,bank,mobile,CA,1,standard,silver,Female,CO,CO,expedited,regional,3,3,2,2,114.25,20.13141683778234,0,0.05684901531728665,0.07413566739606127,0
30,1,1115.14,1030.78,10.14,74.22,90.7,bank,mobile,US,1,standard,silver,Female,CO,CO,standard,local,5,6,11,4,102.955,20.087611225188226,0,0.009837210656008072,0.07200372533421293,0
31,1,53.23,42.64,6.99,3.6,3.1,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,6,1,1,42.64,20.35318275154004,3,0.16393058161350846,0.08442776735459663,0
32,1,586.88,528.86,25.69,32.33,48.4,card,desktop,US,1,standard,silver,Female,CO,CO,overnight,regional,2,2,4,2,132.215,20.33949349760438,0,0.048576182732670274,0.06113149037552471,0
33,1,66.5,38.02,24.99,3.49,2.3,card,mobile,US,0,standard,silver,Female,CO,CO,overnight,local,1,3,2,2,19.009999999999998,20.45722108145106,42,0.6572856391372961,0.09179379274066281,0
34,1,39.92,30.14,6.99,2.79,2.0,card,mobile,US,0,standard,silver,Female,CO,CO,standard,national,7,8,1,1,30.14,20.45722108145106,41,0.23191771731917718,0.09256801592568016,0
35,1,220.65,202.66,0.0,17.99,64.6,card,mobile,CA,1,standard,silver,Female,CO,IL,standard,regional,6,6,3,3,67.55333333333333,20.10677618069815,0,0.0,0.08876936741340175,0
36,1,64.02,47.27,12.99,3.76,8.5,card,mobile,US,1,standard,silver,Female,CO,CO,expedited,national,4,3,1,1,47.27,20.210814510609172,0,0.27480431563359425,0.07954305056060926,0
37,1,104.94,89.91,6.99,8.04,4.0,card,mobile,US,0,standard,silver,Female,CO,CO,standard,national,7,8,2,2,44.955,20.3750855578371,12,0.07774441107774442,0.08942275608942275,0
38,1,316.51,287.47,7.34,21.7,18.0,card,mobile,GB,0,standard,silver,Female,CO,CO,standard,regional,6,5,3,2,133.57999999999998,20.569472963723477,82,0.025533099105993665,0.07548613768393223,0
39,1,451.21,422.24,7.69,21.28,17.6,bank,tablet,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,4,4,105.56,20.347707049965777,2,0.018212391057218644,0.050397877984084884,0
40,1,723.56,674.91,7.34,41.31,71.5,card,mobile,US,1,standard,silver,Female,CO,CO,standard,local,5,4,3,2,230.44,20.243668720054757,0,0.010875524143959935,0.06120816108814509,0
41,1,577.33,542.27,7.69,27.37,35.1,card,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,6,4,2,113.95500000000001,20.421629021218344,28,0.014181127482619361,0.05047301159938776,0
42,1,708.89,649.35,14.39,45.15,41.2,card,desktop,US,0,standard,silver,Female,CO,CO,expedited,regional,3,5,6,5,113.204,20.470910335386723,46,0.02216062216062216,0.06953106953106952,0
43,1,24.18,16.1,6.99,1.09,20.1,card,desktop,GB,1,standard,silver,Female,CO,CO,standard,local,5,5,1,1,16.1,20.18343600273785,0,0.4341614906832298,0.06770186335403727,0
44,1,73.63,56.2,12.99,4.44,10.6,card,desktop,US,1,standard,silver,Female,CO,CO,expedited,local,2,4,2,1,28.1,20.139630390143736,0,0.23113879003558718,0.07900355871886121,0
45,1,264.26,235.21,14.04,15.01,7.7,paypal,mobile,US,0,standard,silver,Female,CO,CO,expedited,regional,3,4,5,3,53.82333333333333,20.418891170431213,27,0.05969133965392627,0.06381531397474596,0
46,1,24.54,22.73,0.0,1.81,10.2,card,desktop,US,1,standard,silver,Female,CO,WA,standard,regional,6,8,1,1,22.73,20.522929500342233,66,0.0,0.0796304443466784,0
47,1,397.78,360.54,8.39,28.85,52.2,card,mobile,GB,0,standard,silver,Female,CO,CO,standard,local,5,7,6,5,62.653999999999996,20.347707049965777,1,0.02327064958118378,0.0800188605979919,0
48,1,246.61,220.67,6.99,18.95,10.3,paypal,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,6,2,2,110.33500000000001,20.227241615331966,0,0.03167625866678751,0.08587483572755698,0
49,1,477.2,431.97,8.04,37.19,18.0,card,tablet,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,5,3,104.60333333333334,20.470910335386723,47,0.018612403639141604,0.08609394170891496,0
50,1,419.07,375.04,24.99,19.04,15.4,card,desktop,US,0,standard,silver,Female,CO,CO,overnight,national,3,3,2,2,187.51999999999998,20.369609856262834,10,0.06663289249146757,0.05076791808873719,0
51,1,833.93,782.61,7.34,43.98,34.7,bank,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,8,3,2,227.99,20.569472963723477,82,0.00937887325743346,0.05619657300571165,0
52,1,23.57,15.74,6.99,0.84,3.6,paypal,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,6,1,1,15.74,20.11498973305955,0,0.4440914866581957,0.053367217280813214,0
53,1,244.9,220.54,7.34,17.02,7.8,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,4,3,3,73.51333333333334,20.334017796030118,0,0.03328194431849098,0.0771742087603156,0
54,1,1023.22,965.44,0.0,57.78,84.8,card,desktop,US,1,standard,silver,Female,CO,CO,standard,regional,6,9,5,3,181.81333333333336,20.380561259411362,13,0.0,0.05984835929731521,1
55,1,21.63,13.88,6.99,0.76,1.6,card,desktop,US,0,standard,silver,Female,CO,CO,standard,national,7,8,1,1,13.88,20.520191649555098,64,0.5036023054755043,0.0547550432276657,0
56,1,58.96,31.59,24.99,2.38,19.7,paypal,mobile,US,0,standard,silver,Female,CO,CA,overnight,local,1,1,1,1,31.59,20.142368240930868,0,0.7910731244064577,0.07534029756251978,0
57,1,237.74,213.59,6.99,17.16,19.6,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,5,2,2,106.795,20.134154688569474,0,0.03272625122899012,0.08034083992696288,0
58,1,168.83,148.5,6.99,13.34,7.2,card,desktop,US,1,standard,silver,Female,CO,CO,standard,regional,6,6,1,1,148.5,20.396988364134156,20,0.047070707070707075,0.08983164983164983,0
59,1,154.65,135.14,7.34,12.17,28.4,paypal,desktop,CA,0,standard,silver,Female,CO,CO,standard,local,5,5,3,2,60.915,20.35318275154004,3,0.05431404469439101,0.09005475802871098,0
60,1,742.86,679.14,8.04,55.68,55.3,card,desktop,US,0,standard,silver,Female,CO,CO,standard,national,7,8,5,5,135.828,20.386036960985628,16,0.01183850163442,0.08198604116971464,0
61,1,376.57,332.05,13.69,30.83,6.8,bank,tablet,US,0,standard,silver,Female,CO,CO,expedited,regional,3,4,4,3,74.28666666666668,20.42984257357974,32,0.041228730612859504,0.09284746273151633,0
62,1,57.6,42.08,12.99,2.53,3.9,card,desktop,US,0,standard,silver,Female,CO,CO,expedited,local,2,4,2,2,21.04,20.416153319644078,26,0.30869771863117873,0.06012357414448669,0
63,1,712.62,662.46,8.74,41.42,63.7,paypal,mobile,US,1,standard,silver,Female,CO,CO,standard,regional,6,10,7,4,84.8925,20.427104722792606,30,0.013193249403737584,0.06252452978293029,1
64,1,517.26,479.43,8.04,29.79,22.9,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,6,5,2,95.305,20.40520191649555,22,0.016769914273199422,0.06213628684062324,0
65,1,978.46,916.08,8.39,53.99,84.5,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,6,3,133.08,20.128678986995208,0,0.009158588769539778,0.05893590079469042,0
66,1,325.12,290.37,7.34,27.41,14.5,card,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,4,3,2,132.725,20.27378507871321,0,0.02527809346695595,0.09439680407755623,0
67,1,1674.83,1544.14,9.09,121.6,99.7,card,mobile,US,1,standard,silver,Female,CO,CO,standard,regional,6,7,8,3,177.01666666666665,20.093086926762492,0,0.005886771924825469,0.07874933620008548,0
68,1,37.26,27.76,6.99,2.51,6.8,card,tablet,IN,0,standard,silver,Female,CO,CO,standard,regional,6,9,2,1,13.88,20.40520191649555,22,0.25180115273775217,0.09041786743515849,0
69,1,38.81,29.6,6.99,2.22,6.3,card,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,4,1,1,29.6,20.306639288158795,0,0.23614864864864865,0.075,0
70,1,231.38,210.0,6.99,14.39,8.8,bank,desktop,BR,0,standard,silver,Female,CO,CO,standard,national,7,7,1,1,210.0,20.459958932238195,42,0.03328571428571429,0.06852380952380953,0
71,1,278.02,242.53,12.99,22.5,21.3,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,regional,3,5,2,2,121.26499999999999,20.421629021218344,29,0.05356038428235682,0.09277202820269657,0
72,1,662.49,603.18,7.69,51.62,47.8,paypal,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,5,4,3,160.23333333333332,20.09034907597536,0,0.012749096455452769,0.08557976060214198,0
73,1,1020.09,945.14,9.09,65.86,92.4,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,9,8,5,112.93800000000002,20.262833675564682,0,0.00961762278604228,0.06968279831559346,1
74,1,835.89,767.0,8.74,60.15,61.8,bank,mobile,US,0,standard,silver,Female,CO,CO,standard,national,7,8,7,5,87.92,20.531143052703626,68,0.011395045632333768,0.07842242503259453,0
75,1,266.44,246.85,6.99,12.6,17.3,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,6,1,1,246.85,20.188911704312115,0,0.028316791573830262,0.05104314360947944,0
76,1,443.29,399.12,6.99,37.18,33.5,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,8,2,2,199.56,20.23545516769336,0,0.017513529765484065,0.09315494086991381,1
77,1,508.18,463.61,8.74,35.83,48.5,paypal,mobile,US,1,standard,silver,Female,CO,CO,standard,regional,6,8,7,5,69.834,20.421629021218344,29,0.018852052371605445,0.07728478678199348,0
78,1,536.56,494.87,8.04,33.65,68.6,card,desktop,CA,0,standard,silver,Female,CO,CO,standard,regional,6,7,5,4,99.95750000000001,20.10130047912389,0,0.016246691050174792,0.06799765595004749,0
79,1,480.73,443.8,7.69,29.24,40.2,paypal,desktop,US,1,standard,silver,Female,CO,CO,standard,regional,6,8,4,4,110.95,20.292950034223136,0,0.01732762505633168,0.06588553402433528,0
80,1,340.35,314.86,7.69,17.8,31.0,card,desktop,GB,0,standard,silver,Female,CO,CO,standard,regional,6,5,4,4,78.715,20.396988364134156,19,0.02442355332528743,0.056533062313409134,0
81,1,1129.38,1035.99,9.79,83.6,92.0,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,7,10,5,123.974,20.199863107460644,0,0.009449898165040202,0.08069575961157925,0
82,1,574.4,531.78,15.09,27.53,49.3,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,local,2,3,8,5,71.772,20.229979466119097,0,0.02837639625409004,0.051769528752491634,0
83,1,899.27,834.42,9.09,55.76,80.2,card,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,7,8,4,112.08500000000001,20.470910335386723,46,0.010893794491982455,0.0668248603820618,0
84,1,632.0,571.07,8.04,52.89,39.2,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,10,5,3,103.34666666666668,20.542094455852155,73,0.014078834468629063,0.09261561629922775,1
85,1,459.31,421.71,8.04,29.56,18.2,bank,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,5,5,2,97.46000000000001,20.229979466119097,0,0.019065234402788647,0.07009556330179507,0
86,1,330.35,295.33,7.34,27.68,17.5,card,mobile,US,1,standard,silver,Female,CO,CO,standard,local,5,4,3,2,97.03,20.49555099247091,56,0.024853553651847087,0.09372566281786476,0
87,1,154.23,132.93,13.34,7.96,16.4,card,desktop,US,0,standard,silver,Female,CO,CO,expedited,national,4,3,3,3,44.31,20.186173853524984,0,0.10035356954788234,0.05988114044986083,0
88,1,300.48,271.29,13.34,15.85,25.0,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,regional,3,5,3,2,75.015,20.123203285420946,0,0.04917247226215488,0.05842456411957683,1
89,1,691.81,634.72,8.39,48.7,79.6,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,6,5,102.952,20.147843942505133,0,0.013218427022939249,0.07672674565162592,0
90,1,421.89,374.64,13.69,33.56,29.1,bank,desktop,US,0,standard,silver,Female,CO,CO,expedited,regional,3,2,4,3,97.10333333333334,20.202600958247775,0,0.036541746743540465,0.0895793294896434,0
91,1,191.11,152.52,26.39,12.2,11.5,card,desktop,US,0,standard,silver,Female,CO,CO,overnight,national,3,5,6,5,28.109999999999996,20.424366872005475,29,0.1730264883293994,0.07998950957251506,0
92,1,58.84,31.12,24.99,2.73,5.2,card,mobile,US,0,standard,silver,Female,CO,CO,overnight,local,1,2,1,1,31.12,20.40246406570842,21,0.8030205655526992,0.08772493573264781,0
93,1,352.74,316.85,7.34,28.55,34.6,paypal,mobile,US,0,standard,silver,Female,CO,CO,standard,national,7,7,3,3,105.61666666666666,20.139630390143736,0,0.023165535742464886,0.09010572826258481,0
94,1,83.68,72.1,7.69,3.89,6.4,card,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,6,4,3,22.456666666666667,20.473648186173854,47,0.10665742024965327,0.05395284327323163,0
95,1,290.97,259.93,6.99,24.05,19.1,card,desktop,NG,0,standard,silver,Female,CO,CO,standard,regional,6,7,2,2,129.965,20.553045859000683,76,0.02689185549955757,0.09252491055284115,0
96,1,652.95,612.84,7.69,32.42,61.4,card,desktop,US,1,standard,silver,Female,CO,CO,standard,local,5,3,4,4,153.20999999999998,20.314852840520192,0,0.01254813654461197,0.052901246654918084,0
97,1,1080.24,1022.55,0.0,57.69,96.1,card,mobile,US,1,standard,silver,Female,CO,CO,standard,national,7,8,7,3,121.67666666666668,20.11498973305955,0,0.0,0.056417779081707496,0
98,1,96.43,82.11,7.69,6.63,26.5,paypal,mobile,IN,1,standard,silver,Female,CO,CO,standard,regional,6,6,4,3,22.003333333333334,20.216290212183434,0,0.09365485324564608,0.08074534161490683,0
99,1,952.14,881.19,8.39,62.56,91.4,card,desktop,US,0,standard,silver,Female,CO,CO,standard,national,7,9,6,4,151.8975,20.246406570841888,0,0.009521215628865511,0.07099490461761936,0
100,1,742.33,674.08,9.09,59.16,42.8,bank,desktop,US,0,standard,silver,Female,CO,CO,standard,national,7,12,8,5,86.638,20.487337440109513,52,0.01348504628530738,0.08776406361262758,1
101,1,19.94,11.97,6.99,0.98,4.3,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,1,1,11.97,20.262833675564682,0,0.5839598997493735,0.08187134502923976,0
102,1,146.81,132.61,6.99,7.21,12.3,paypal,tablet,US,0,standard,silver,Female,CO,CO,standard,national,7,7,2,2,66.305,20.246406570841888,0,0.05271095694140713,0.054369957016816226,0
103,1,910.91,853.3,8.39,49.22,92.8,card,tablet,US,0,standard,silver,Female,CO,WA,standard,regional,6,6,6,5,150.406,20.292950034223136,0,0.00983241532872378,0.05768194070080863,0
104,1,368.51,334.22,7.69,26.6,25.8,card,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,8,4,4,83.555,20.281998631074607,0,0.02300879660104123,0.07958829513494105,0
105,1,321.29,287.42,8.39,25.48,18.3,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,6,5,48.864000000000004,20.334017796030118,0,0.0291907313339364,0.08865075499269362,0
106,1,959.02,893.22,14.74,51.06,86.9,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,national,4,7,7,5,123.66399999999999,20.28473648186174,0,0.016502093549181612,0.057163968563175925,1
107,1,770.92,715.61,0.0,55.31,96.9,crypto,desktop,US,1,standard,silver,Female,CO,CO,expedited,local,2,3,5,4,152.775,20.257357973990416,0,0.0,0.07729070303657021,0
108,1,329.04,305.61,7.69,15.74,48.6,card,mobile,US,1,standard,silver,Female,CO,CO,standard,regional,6,5,4,2,120.935,20.188911704312115,0,0.025162789175746866,0.05150355027649619,0
109,1,554.56,502.85,13.69,38.02,59.2,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,local,2,5,4,3,153.3033333333333,20.54483230663929,73,0.02722481853435418,0.07560902853733718,1
110,1,289.51,253.24,12.99,23.28,72.1,card,mobile,US,1,standard,silver,Female,CO,WA,expedited,local,2,2,1,1,253.24,20.26009582477755,0,0.051295214026220184,0.09192860527562786,0
111,1,207.24,184.07,7.69,15.48,5.9,bank,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,4,3,51.656666666666666,20.39425051334702,19,0.041777584614548814,0.08409844081056121,0
112,1,550.44,500.15,7.69,42.6,53.8,bank,desktop,US,1,standard,silver,Female,CO,CO,standard,national,7,6,4,4,125.0375,20.268309377138944,0,0.015375387383784866,0.0851744476657003,0
113,1,145.0,129.35,6.99,8.66,6.4,card,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,1,1,129.35,20.49555099247091,56,0.05403942790877465,0.06695013529184383,0
114,1,587.19,550.82,7.69,28.68,69.8,card,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,6,4,2,137.705,20.27378507871321,0,0.013961003594640716,0.052067826150103476,0
115,1,310.97,282.59,7.34,21.04,65.8,card,mobile,US,0,standard,silver,Female,CO,FL,standard,regional,6,6,3,3,94.19666666666667,20.125941136208077,0,0.025974025974025976,0.07445415619802541,0
116,1,407.57,359.48,26.39,21.7,41.0,card,desktop,US,0,standard,silver,Female,CO,CO,overnight,regional,2,2,6,5,64.64200000000001,20.279260780287473,0,0.07341159452542562,0.06036497162568154,0
117,1,191.5,169.71,6.99,14.8,13.7,paypal,desktop,US,1,standard,silver,Female,CO,CO,standard,regional,6,4,1,1,169.71,20.10403832991102,0,0.04118790878557539,0.08720758941724117,0
118,1,615.71,563.45,15.44,36.82,79.9,card,mobile,US,0,standard,silver,Female,CO,AZ,expedited,regional,3,4,9,5,72.65,20.320328542094455,0,0.027402608927145262,0.06534741325760937,0
119,1,1126.92,1024.09,9.79,93.04,90.3,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,8,10,5,134.51399999999998,20.514715947980836,62,0.009559706666406273,0.09085139001454952,0
120,1,575.36,518.83,8.04,48.49,68.5,card,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,6,5,5,103.76599999999999,20.265571526351813,0,0.015496405373629124,0.09346028564269607,0
121,1,461.69,428.36,0.0,33.33,31.2,card,desktop,US,1,standard,silver,Female,CO,CO,standard,local,5,7,4,3,135.44333333333333,20.39425051334702,18,0.0,0.07780838547016528,1
122,1,276.16,244.96,12.99,18.21,49.5,card,tablet,BR,0,standard,silver,Female,CO,CO,expedited,local,2,3,2,1,122.48,20.10677618069815,0,0.05302906596995428,0.07433866753755715,1
123,1,741.69,679.72,8.04,53.93,69.2,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,5,4,121.01750000000001,20.320328542094455,0,0.011828399929382685,0.07934149355617018,0
124,1,700.32,655.81,9.44,35.07,47.5,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,9,5,68.208,20.569472963723477,83,0.01439441301596499,0.053475854287064854,0
125,1,900.81,833.31,8.74,58.76,66.9,bank,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,5,7,5,117.352,20.372347707049965,10,0.010488293672222824,0.07051397439128296,0
126,1,1044.05,961.07,8.74,74.24,94.4,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,4,7,4,122.975,20.128678986995208,0,0.009094030611714026,0.07724723485282028,0
127,1,1045.31,994.08,0.0,51.23,97.1,card,mobile,US,1,standard,silver,Female,CO,CO,standard,national,7,8,7,4,159.2175,20.309377138945926,0,0.0,0.05153508771929824,0
128,1,487.17,443.85,14.04,29.28,18.8,card,desktop,US,0,standard,silver,Female,CO,CO,expedited,regional,3,5,5,3,89.28333333333335,20.566735112936346,81,0.03163230821223386,0.06596823251098344,0
129,1,592.14,537.8,8.74,45.6,56.5,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,4,7,5,91.44800000000001,20.238193018480494,0,0.016251394570472297,0.08478988471550764,0
130,1,38.59,23.94,12.99,1.66,5.2,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,local,2,3,2,1,11.97,20.53388090349076,69,0.5426065162907268,0.06934001670843776,0
131,1,889.55,800.23,14.74,74.58,94.0,card,mobile,US,1,standard,silver,Female,CO,CO,expedited,local,2,2,7,5,123.89000000000001,20.23545516769336,0,0.018419704335003687,0.09319820551591416,0
132,1,275.36,253.65,8.04,13.67,26.4,card,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,5,3,45.94,20.23545516769336,0,0.03169722057953873,0.053893159865957024,0
133,1,689.52,625.15,9.44,54.93,82.5,card,mobile,US,0,standard,silver,Female,CO,TX,standard,local,5,7,9,5,68.482,20.511978097193705,62,0.015100375909781652,0.08786691194113413,0
134,1,798.89,758.66,0.0,40.23,68.9,bank,desktop,US,1,standard,silver,Female,CO,CO,standard,local,5,6,9,4,89.5025,20.396988364134156,19,0.0,0.05302770674610497,0
135,1,121.71,105.74,7.69,8.28,2.7,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,6,4,2,26.435000000000002,20.451745379876797,39,0.07272555324380557,0.07830527709476073,0
136,1,495.9,448.82,8.39,38.69,52.0,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,8,6,3,74.80333333333333,20.309377138945926,0,0.018693462858161404,0.08620382335903035,0
137,1,272.22,243.75,13.34,15.13,10.5,bank,desktop,US,0,standard,silver,Female,CO,CO,expedited,national,4,4,3,3,81.25,20.227241615331966,0,0.05472820512820513,0.06207179487179487,0
138,1,854.8,798.57,8.74,47.49,61.6,paypal,tablet,US,0,standard,silver,Female,CO,CO,standard,national,7,9,7,5,128.022,20.369609856262834,10,0.010944563407090173,0.059468800480859535,0
